Invoice,OrderValue,ItemsPerOrder
491424,177.91,14
491425,230.0,23
491426,917.76,67
491427,583.7,55
491429,375.66,18
491431,1980.0,7
491432,325.64,19
491433,233.10000000000002,7
491434,327.32,15
491435,244.42000000000002,49
491436,10.14,1
491437,439.18,6
491438,375.18,13
491439,306.0,1
491440,1350.0,1
491442,102.0,1
491443,574.07,18
491444,41.89,2
491445,122.94999999999999,23
491447,15.9,1
491448,459.58,28
491449,1641.9,34
491450,634.88,10
491452,222.05,33
491453,86.75,16
491454,218.44,10
491456,11016.0,7
491457,362.93,57
491462,718.83,13
491463,7.5,2
491464,52.800000000000004,1
491465,350.68,14
491468,1107.95,50
491474,217.34,25
491479,391.16,38
491497,899.64,13
491498,209.59,18
491506,199.68,32
491508,348.6,8
491516,51.269999999999996,2
491528,307.54,37
491554,198.76999999999998,10
491555,513.54,21
491570,811.76,20
491584,525.34,45
491586,117.96000000000001,4
491587,500.0,1
491603,539.47,25
491607,289.53000000000003,12
491612,849.9399999999999,17
491613,252.04,34
491622,483.42,73
491625,615.3,7
491627,460.3,16
491629,308.81,16
491630,438.22,58
491631,160.55,8
491633,465.42,29
491634,574.09,125
491635,1323.86,22
491636,285.48,20
491637,638.52,24
491640,406.12,55
491642,358.32,64
491643,1056.86,17
491644,100.55,14
491645,156.14,44
491646,641.51,13
491647,15.5,1
491648,214.09,10
491649,549.08,4
491651,356.55,11
491652,510.36,51
491653,164.48,13
491654,469.49,45
491655,15.5,1
491656,344.65,28
491658,155.06,37
491659,416.82,24
491660,152.25,24
491661,326.4,1
491662,356.17,49
491663,90.95,17
491664,450.71,37
491665,1184.6100000000001,45
491666,335.98,23
491667,120.06,53
491668,370.2,6
491669,76.84,25
491670,650.88,10
491671,505.13,44
491672,336.82,14
491673,126.7,31
491674,591.48,21
491675,374.04,64
491677,15.0,1
491678,300.42,16
491679,145.06,35
491680,244.79999999999998,2
491681,272.4,20
491682,21.95,1
491683,361.55,58
491684,228.8,34
491685,5.1,1
491686,452.5,27
491687,588.4,8
491688,197.98,39
491690,511.64000000000004,15
491691,386.73,33
491692,856.78,39
491694,228.34,18
491695,106.65,32
491696,56.45,3
491697,493.37,43
491698,1014.54,46
491699,286.28000000000003,18
491700,507.65,60
491701,123.43,35
491703,399.79999999999995,36
491704,65.10000000000001,3
491706,15.299999999999999,1
491707,98.25,11
491708,100.80000000000001,1
491709,147.99,4
491710,258.3,15
491711,313.64,15
491712,360.51000000000005,28
491713,545.1,3
491714,526.46,88
491715,233.42000000000002,15
491716,217.8,16
491717,213.88,64
491718,181.51,11
491719,348.61,51
491720,261.7,26
491721,354.29,40
491722,292.98,15
491724,124.9,19
491725,45.0,1
491726,1081.66,68
491729,171.82,13
491730,252.12,16
491731,228.6,9
491733,366.4,7
491734,950.0,10
491735,225.8,15
491736,756.51,27
491737,31.929999999999996,4
491738,1286.43,65
491742,22.5,1
491743,597.56,9
491744,22.5,1
491745,66.75,5
491746,327.71000000000004,27
491747,187.70000000000002,13
491748,319.38,6
491750,572.05,34
491751,196.92000000000002,12
491752,309.3,11
491753,348.85,13
491754,38.66,4
491755,79.94999999999999,8
491756,318.36,18
491757,705.5999999999999,1
491758,400.91,67
491759,15.0,1
491760,170.04999999999998,4
491780,615.22,29
491782,162.25,8
491784,675.05,25
491800,5259.17,68
491803,698.61,97
491804,112.64,18
491805,1350.81,63
491806,8.95,1
491807,164.28,18
491809,272.02,37
491810,619.67,19
491811,290.15,28
491812,13854.2,113
491813,157.5,1
491814,310.43,23
491815,177.84,1
491816,1550.07,63
491825,414.36,25
491826,850.8299999999999,7
491828,409.2,4
491829,325.44,1
491831,137.73,33
491832,132.51,9
491833,390.66,105
491834,197.05,29
491840,129.6,17
491861,266.02,26
491868,431.98,21
491888,626.0,57
491893,274.0,67
491894,1126.81,17
491923,307.24,16
491924,700.83,56
491935,689.71,65
491941,70.80000000000001,2
491949,53.2,2
491950,238.05,16
491951,926.31,77
491953,2308.5,14
491954,88.5,6
491955,50.400000000000006,1
491956,381.4,21
491957,149.5,4
491958,99.86,3
491959,111.0,18
491960,659.4,25
491961,1456.2,24
491963,93.35000000000001,6
491964,45.300000000000004,3
491965,497.65000000000003,31
491967,384.16,42
491979,891.41,12
491980,227.72,6
491981,381.21999999999997,19
491982,154.69,6
491983,415.49,20
491984,306.54,19
491986,495.0,1
491987,62.31,4
491988,429.66,7
491991,27.0,2
491992,57.9,4
491993,304.7,12
491994,306.40000000000003,20
491995,367.75,9
491996,1337.0,6
491997,292.31,34
491998,297.86,15
491999,310.87,20
492003,253.42000000000002,16
492004,847.0,26
492005,2320.2000000000003,9
492007,169.5,1
492008,61.2,4
492009,174.65,15
492011,253.64000000000001,7
492012,675.12,50
492014,13.5,1
492015,1413.34,58
492016,179.36,13
492017,394.41999999999996,4
492018,531.3,36
492020,414.78,17
492021,208.79999999999998,1
492022,216.0,1
492035,285.22,18
492039,301.9,11
492051,870.84,21
492064,558.17,70
492071,6.75,1
492073,1500.46,6
492074,377.49,27
492075,477.36,79
492076,152.0,2
492077,290.72,31
492078,147.68,34
492079,324.8,15
492080,308.38,6
492092,698.2,42
492098,2343.72,24
492117,1021.53,39
492125,146.45999999999998,3
492127,538.77,16
492133,1737.2,4
492153,208.68,25
492168,391.55,27
492169,823.8100000000001,63
492170,138.22,5
492172,327.91,19
492173,316.39,15
492174,478.16,11
492175,182.25,9
492176,466.88,72
492177,598.2,11
492178,340.39,28
492179,24.630000000000003,7
492181,380.78,11
492185,960.0,1
492202,774.21,24
492203,204.0,1
492204,322.92,13
492208,334.14,16
492209,236.17,50
492210,263.4,2
492214,301.16,19
492216,939.21,41
492218,297.86,11
492220,205.32,52
492221,288.88,9
492222,187.84,11
492223,179.0,7
492224,801.3,9
492225,1084.08,16
492227,334.5,8
492228,343.66,13
492229,388.74,9
492230,60.48,1
492231,53.0,3
492232,61.45,3
492233,126.5,6
492234,297.4,11
492235,155.34,7
492236,2156.0,6
492237,3480.0,7
492238,520.46,10
492239,313.8,6
492240,575.64,10
492241,969.66,62
492242,321.65000000000003,18
492244,435.5,18
492245,243.86,18
492246,1226.79,31
492247,307.15,14
492248,511.2,7
492249,243.65,15
492250,462.95,17
492251,825.32,49
492252,357.0,14
492253,223.7,11
492269,855.45,20
492270,96.3,5
492271,68.69999999999999,3
492272,141.66,18
492273,10.2,1
492281,306.3,12
492282,371.48,21
492283,117.30000000000001,4
492285,164.1,9
492287,313.3,12
492290,187.44,12
492296,499.15,27
492297,307.95,16
492300,348.15,7
492302,183.4,9
492304,214.25,10
492312,123.19,11
492313,407.69,32
492314,336.6,14
492317,593.4,22
492318,214.21,15
492319,161.6,42
492321,1181.5,10
492322,352.0,1
492325,212.1,10
492328,271.56,9
492340,311.99,36
492342,1221.97,58
492347,1209.58,12
492348,540.66,5
492349,306.2,6
492351,35.45,9
492356,422.35,19
492357,115.3,13
492358,1750.43,46
492359,78.6,3
492360,584.1,37
492361,342.36,32
492362,436.56,21
492367,618.79,40
492368,519.53,50
492369,323.25,16
492370,130.51,33
492371,252.20000000000002,5
492372,195.50000000000003,11
492374,425.95,23
492375,14.2,2
492376,215.75,52
492378,422.15,11
492379,338.31,23
492380,274.32,9
492383,542.36,16
492387,1088.8,51
492391,340.67,13
492395,22.67,7
492397,78.2,2
492398,50.400000000000006,1
492399,320.65000000000003,21
492401,324.87,8
492403,276.5,12
492404,98.30000000000001,3
492405,255.37,56
492406,597.5,15
492407,278.07,44
492408,133.0,15
492409,189.31,11
492410,781.1,11
492412,136.20000000000002,5
492413,295.64,38
492415,904.3799999999999,15
492417,220.07,5
492418,3416.7200000000003,74
492419,426.09000000000003,69
492421,125.95,19
492423,124.57,13
492424,3.75,1
492426,301.02,6
492427,342.55,8
492428,447.53000000000003,27
492429,1425.3,23
492430,100.80000000000001,1
492431,353.0,11
492432,273.88,14
492433,176.4,11
492434,589.34,26
492435,140.9,41
492436,329.58,11
492437,323.78000000000003,16
492438,164.59,11
492439,1952.64,3
492440,295.55,11
492441,435.45,21
492442,323.0,3
492443,366.62,5
492444,171.26,11
492445,1594.85,29
492446,589.4,15
492448,699.08,14
492449,120.15,7
492462,233.94,37
492465,193.85,17
492472,172.07,45
492484,176.71,44
492499,400.76,8
492500,6.6,1
492512,199.19,12
492516,226.74,10
492517,233.4,14
492518,809.62,16
492519,299.65,6
492520,420.41,26
492521,71.4,5
492522,160.82999999999998,6
492524,391.44,11
492525,74.94,21
492526,7.8,3
492527,437.96000000000004,14
492528,302.06,11
492529,433.96,36
492530,2.95,1
492534,78.33,31
492535,286.04,17
492536,343.96000000000004,8
492537,411.7,26
492538,255.15,4
492539,252.59,20
492540,256.66,38
492542,88.28,21
492544,96.0,6
492545,139.0,8
492546,141.0,6
492547,424.3,32
492549,339.9,19
492571,310.70000000000005,9
492578,319.5,10
492579,1707.48,54
492580,144.51,13
492581,251.3,4
492582,322.6,15
492583,263.90000000000003,5
492585,754.75,74
492588,348.2,13
492589,95.4,3
492591,282.3,2
492592,799.3,78
492593,208.66,85
492594,117.35000000000001,7
492635,729.12,31
492640,421.4,44
492641,162.8,8
492643,234.54000000000002,21
492644,950.04,71
492650,803.25,1
492652,184.44,11
492659,173.22,51
492680,157.43,32
492684,144.6,9
492687,10.1,4
492705,429.8,52
492707,133.34,32
492708,428.44,23
492710,608.4,2
492711,6.75,1
492713,6.75,1
492714,351.69,45
492716,205.47,14
492717,458.20000000000005,8
492718,22.5,1
492720,896.8499999999999,10
492722,1.0,1
492723,8.4,1
492724,8370.08,52
492726,294.0,10
492727,567.0,1
492728,622.48,30
492729,366.58,52
492730,64.17,7
492731,290.65,9
492732,486.0,3
492733,376.0,19
492734,70.80000000000001,11
492735,668.65,23
492736,102.75,7
492737,356.95,29
492738,1010.55,57
492740,1839.5999999999997,4
492741,3.75,1
492742,1636.43,89
492743,143.7,6
492744,75.0,5
492745,310.01,20
492747,187.55,10
492749,757.45,36
492750,285.3,16
492751,316.59,44
492752,1.95,1
492753,779.04,34
492760,180.3,12
492761,664.65,25
492762,914.24,25
492763,307.91,17
492764,498.5,23
492765,495.65000000000003,27
492766,211.36,6
492767,340.5,6
492768,316.54,21
492769,272.0,4
492770,86.46000000000001,5
492771,101.03999999999999,7
492772,131.25,9
492773,914.16,36
492774,314.44,18
492775,312.6,16
492776,410.42,33
492777,207.71,11
492778,376.84999999999997,14
492779,107.3,13
492780,3.9,2
492781,646.3000000000001,21
492784,403.56,74
492785,485.40000000000003,9
492792,330.05,15
492793,313.83000000000004,5
492794,310.72,19
492795,158.6,13
492796,153.2,12
492797,353.25,20
492798,193.53,36
492799,511.14,20
492800,243.0,11
492801,254.54,38
492803,383.86,38
492804,264.64,18
492805,243.65,20
492806,756.15,11
492807,342.82,30
492808,464.56,8
492809,316.83,22
492810,602.4000000000001,5
492811,226.54000000000002,25
492812,554.0,31
492813,622.65,35
492814,412.62,7
492815,111.68,28
492816,330.6,17
492817,199.13,4
492818,259.15,14
492819,913.1500000000001,22
492820,192.09,21
