Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12435,80,6,13925.93,3,3,4,10,Champions
12436,100,1,509.01,2,1,2,5,Needs Attention
12437,2,47,12394.85,4,4,4,12,Champions
12438,14,2,2906.85,4,1,4,9,Loyal Customers
12439,683,3,1104.48,1,2,3,6,Needs Attention
12440,457,3,768.15,1,2,2,5,Needs Attention
12441,367,1,347.1,2,1,2,5,Needs Attention
12442,3,1,172.06,4,1,1,6,Recent but Low Value
12443,732,1,485.31,1,1,2,4,Lost
12444,21,5,5005.46,4,3,4,11,Champions
12445,22,3,426.48,4,2,2,8,Loyal Customers
12446,58,1,1002.3100000000001,3,1,3,7,Recent but Low Value
12447,243,1,476.49,2,1,2,5,Needs Attention
12448,44,1,449.45,3,1,2,6,Recent but Low Value
12449,22,6,4835.89,4,3,4,11,Champions
12450,156,7,666.95,2,3,2,7,At Risk (Was Valuable)
12451,11,10,12546.53,4,4,4,12,Champions
12452,17,3,428.57,4,2,2,8,Loyal Customers
12453,134,1,707.09,2,1,2,5,Needs Attention
12454,53,9,4292.71,3,4,4,11,Champions
12455,73,10,5879.95,3,4,4,11,Champions
12456,44,4,3153.89,3,2,4,9,Loyal Customers
12457,58,14,2472.31,3,4,4,11,Champions
12458,71,4,1777.49,3,2,3,8,Loyal Customers
12459,605,1,454.36,1,1,2,4,Lost
12460,456,1,326.65,1,1,1,3,Lost
12461,94,2,826.88,2,1,2,5,Needs Attention
12462,2,4,1124.01,4,2,3,9,Loyal Customers
12463,46,7,1303.63,3,3,3,9,Loyal Customers
12464,10,8,1212.05,4,3,3,10,Champions
12465,8,3,733.89,4,2,2,8,Loyal Customers
12466,682,1,56.73,1,1,1,3,Lost
12468,143,10,3624.55,2,4,4,10,Champions
12469,523,2,3070.54,1,1,4,6,Needs Attention
12470,690,1,211.95,1,1,1,3,Lost
12471,2,129,37948.61,4,4,4,12,Champions
12472,31,37,16956.69,3,4,4,11,Champions
12473,29,9,2848.23,3,4,4,11,Champions
12474,17,54,11966.45,4,4,4,12,Champions
12475,54,2,1149.64,3,1,3,7,Recent but Low Value
12476,1,38,13715.62,4,4,4,12,Champions
12477,23,12,20173.64,4,4,4,12,Champions
12478,4,1,680.99,4,1,2,7,Recent but Low Value
12479,4,3,477.3,4,2,2,8,Loyal Customers
12480,28,8,5435.1,3,3,4,10,Champions
12481,23,18,12217.03,4,4,4,12,Champions
12482,450,32,21893.53,1,4,4,9,Loyal Customers
12483,17,27,4846.87,4,4,4,12,Champions
12484,33,16,6303.85,3,4,4,11,Champions
12485,529,1,708.1,1,1,2,4,Lost
12486,432,1,1037.28,1,1,3,5,Needs Attention
12487,731,2,259.79999999999995,1,1,1,3,Lost
12488,10,3,1298.66,4,2,3,9,Loyal Customers
12489,336,1,334.93,2,1,1,4,Lost
12490,5,22,9818.64,4,4,4,12,Champions
12491,39,1,460.40000000000003,3,1,2,6,Recent but Low Value
12492,63,3,715.21,3,2,2,7,Recent but Low Value
12493,166,3,416.79,2,2,2,6,Needs Attention
12494,10,17,1743.52,4,4,3,11,Champions
12495,635,2,323.4,1,1,1,3,Lost
12496,620,2,54.09,1,1,1,3,Lost
12497,82,4,6211.75,3,2,4,9,Loyal Customers
12498,21,3,403.70000000000005,4,2,2,8,Loyal Customers
12499,560,1,393.72,1,1,2,4,Lost
12500,23,25,5872.31,4,4,4,12,Champions
12501,315,2,2089.68,2,1,3,6,Needs Attention
12502,96,5,3723.87,2,3,4,9,Loyal Customers
12504,18,6,411.0,4,3,2,9,Loyal Customers
12505,301,3,908.0,2,2,3,7,Needs Attention
12506,233,1,73.5,2,1,1,4,Lost
12507,134,5,1797.31,2,3,3,8,Loyal Customers
12508,26,2,398.27,3,1,2,6,Recent but Low Value
12509,284,1,176.5,2,1,1,4,Lost
12510,143,16,3689.33,2,4,4,10,Champions
12511,415,2,3065.77,1,1,4,6,Needs Attention
12512,66,2,138.03,3,1,1,5,Recent but Low Value
12513,85,2,586.79,3,1,2,6,Recent but Low Value
12514,267,2,1597.76,2,1,3,6,Needs Attention
12515,353,1,383.7,2,1,2,5,Needs Attention
12516,78,4,2648.62,3,2,4,9,Loyal Customers
12517,28,6,2464.89,3,3,4,10,Champions
12518,1,5,2056.89,4,3,3,10,Champions
12519,64,3,695.19,3,2,2,7,Recent but Low Value
12520,79,6,2582.51,3,3,4,10,Champions
12521,143,1,599.68,2,1,2,5,Needs Attention
12522,39,2,192.72,3,1,1,5,Recent but Low Value
12523,2,30,4220.85,4,4,4,12,Champions
12524,9,18,11091.36,4,4,4,12,Champions
12525,491,8,835.1800000000001,1,3,2,6,At Risk (Was Valuable)
12526,1,3,1316.66,4,2,3,9,Loyal Customers
12527,82,5,735.51,3,3,2,8,Loyal Customers
12528,9,8,1922.28,4,3,3,10,Champions
12529,523,2,311.78000000000003,1,1,1,3,Lost
12530,60,12,3689.86,3,4,4,11,Champions
12531,15,3,1899.05,4,2,3,9,Loyal Customers
12532,30,1,349.83000000000004,3,1,2,6,Recent but Low Value
12533,619,6,1149.99,1,3,3,7,At Risk (Was Valuable)
12534,131,1,1089.18,2,1,3,6,Needs Attention
12535,92,2,716.35,3,1,2,6,Recent but Low Value
12536,8,5,4106.82,4,3,4,11,Champions
12537,409,1,732.94,1,1,2,4,Lost
12538,29,2,640.45,3,1,2,6,Recent but Low Value
12539,22,8,9498.9,4,3,4,11,Champions
12540,20,36,22107.29,4,4,4,12,Champions
12541,30,3,981.18,3,2,3,8,Loyal Customers
12542,484,4,423.38,1,2,2,5,Needs Attention
12543,448,1,980.25,1,1,3,5,Needs Attention
12544,30,2,355.7,3,1,2,6,Recent but Low Value
12545,75,2,1000.39,3,1,3,7,Recent but Low Value
12546,47,3,1141.5,3,2,3,8,Loyal Customers
12547,198,3,383.58,2,2,2,6,Needs Attention
12548,166,1,95.19999999999999,2,1,1,4,Lost
12549,576,6,1575.68,1,3,3,7,At Risk (Was Valuable)
12550,79,1,964.83,3,1,3,7,Recent but Low Value
12551,358,1,168.0,2,1,1,4,Lost
12552,39,2,437.82,3,1,2,6,Recent but Low Value
12553,8,17,4548.82,4,4,4,12,Champions
12554,449,1,468.5,1,1,2,4,Lost
12555,682,1,129.23,1,1,1,3,Lost
12556,50,2,603.71,3,1,2,6,Recent but Low Value
12557,16,8,18716.14,4,3,4,11,Champions
12558,2,2,1.0658141036401503e-14,4,1,1,6,Recent but Low Value
12559,311,3,536.21,2,2,2,6,Needs Attention
12560,5,4,2101.39,4,2,3,9,Loyal Customers
12561,303,1,238.85,2,1,1,4,Lost
12562,8,9,4966.92,4,4,4,12,Champions
12563,409,1,249.24,1,1,1,3,Lost
12564,261,1,456.9,2,1,2,5,Needs Attention
12565,282,2,131.17,2,1,1,4,Lost
12566,73,2,346.7,3,1,2,6,Recent but Low Value
12567,23,17,13393.82,4,4,4,12,Champions
12568,645,1,70.0,1,1,1,3,Lost
12569,2,35,4064.9900000000002,4,4,4,12,Champions
12570,682,1,77.52,1,1,1,3,Lost
12571,40,2,519.61,3,1,2,6,Recent but Low Value
12572,9,3,1004.72,4,2,3,9,Loyal Customers
12573,227,5,717.41,2,3,2,7,At Risk (Was Valuable)
12574,316,1,218.45,2,1,1,4,Lost
12575,457,2,622.8199999999999,1,1,2,4,Lost
12576,36,11,2083.87,3,4,3,10,Champions
12577,35,9,1591.35,3,4,3,10,Champions
12578,21,7,4572.45,4,3,4,11,Champions
12579,73,3,410.72,3,2,2,7,Recent but Low Value
12580,247,2,1052.9,2,1,3,6,Needs Attention
12581,40,1,197.71,3,1,1,5,Recent but Low Value
12582,239,4,1980.4,2,2,3,7,Needs Attention
12583,3,31,14344.9,4,4,4,12,Champions
12584,4,18,1893.95,4,4,3,11,Champions
12585,234,4,1982.81,2,2,3,7,Needs Attention
12586,17,5,2028.67,4,3,3,10,Champions
12587,8,1,144.0,4,1,1,6,Recent but Low Value
12588,39,5,938.98,3,3,3,9,Loyal Customers
12589,29,11,3094.17,3,4,4,11,Champions
12590,190,5,9853.48,2,3,4,9,Loyal Customers
12591,317,3,1352.15,2,2,3,7,Needs Attention
12592,92,8,1152.62,3,3,3,9,Loyal Customers
12593,109,3,418.09999999999997,2,2,2,6,Needs Attention
12594,38,17,5044.51,3,4,4,11,Champions
12595,505,1,299.02,1,1,1,3,Lost
12596,51,2,618.27,3,1,2,6,Recent but Low Value
12597,19,5,3683.13,4,3,4,11,Champions
12598,10,15,4414.67,4,4,4,12,Champions
12599,29,13,2296.72,3,4,4,11,Champions
12600,29,26,4955.79,3,4,4,11,Champions
12601,190,7,673.76,2,3,2,7,At Risk (Was Valuable)
12602,59,1,153.12,3,1,1,5,Recent but Low Value
12603,22,1,739.1999999999999,4,1,2,7,Recent but Low Value
12604,79,2,254.18,3,1,1,5,Recent but Low Value
12605,365,5,1217.95,2,3,3,8,Loyal Customers
12606,682,1,21.0,1,1,1,3,Lost
12607,58,2,3.552713678800501e-15,3,1,1,5,Recent but Low Value
12608,405,1,415.79,1,1,2,4,Lost
12609,78,10,3417.86,3,4,4,11,Champions
12610,23,7,2057.99,4,3,3,10,Champions
12611,52,1,1193.32,3,1,3,7,Recent but Low Value
12612,58,2,643.59,3,1,2,6,Recent but Low Value
12613,31,13,6591.52,3,4,4,11,Champions
12614,278,1,315.6,2,1,1,4,Lost
12615,2,11,5564.88,4,4,4,12,Champions
12616,85,7,1045.35,3,3,3,9,Loyal Customers
12617,29,1,355.53,3,1,2,6,Recent but Low Value
12618,22,1,177.31,4,1,1,6,Recent but Low Value
12619,16,14,3354.95,4,4,4,12,Champions
12620,15,3,1339.41,4,2,3,9,Loyal Customers
12621,2,44,24579.31,4,4,4,12,Champions
12622,232,1,180.1,2,1,1,4,Lost
12623,276,9,3639.84,2,4,4,10,Champions
12624,106,2,641.13,2,1,2,5,Needs Attention
12625,212,5,5095.38,2,3,4,9,Loyal Customers
12626,23,13,6388.35,4,4,4,12,Champions
12627,11,7,4478.53,4,3,4,11,Champions
12628,4,4,769.61,4,2,2,8,Loyal Customers
12629,386,2,1558.22,1,1,3,5,Needs Attention
12630,10,2,1270.88,4,1,3,8,Loyal Customers
12631,57,7,3452.27,3,3,4,10,Champions
12632,521,4,738.88,1,2,2,5,Needs Attention
12633,59,10,5595.21,3,4,4,11,Champions
12634,536,2,490.0,1,1,2,4,Lost
12635,90,4,2930.41,3,2,4,9,Loyal Customers
12636,739,1,141.0,1,1,1,3,Lost
12637,67,14,8271.66,3,4,4,11,Champions
12638,33,2,921.49,3,1,3,7,Recent but Low Value
12639,239,3,1312.37,2,2,3,7,Needs Attention
12640,24,3,1174.58,4,2,3,9,Loyal Customers
12641,115,1,185.9,2,1,1,4,Lost
12642,25,3,1013.26,3,2,3,8,Loyal Customers
12643,128,14,7880.9,2,4,4,10,Champions
12644,130,6,1815.54,2,3,3,8,Loyal Customers
12645,34,10,3499.1,3,4,4,11,Champions
12646,5,2,1346.97,4,1,3,8,Loyal Customers
12647,22,45,17682.79,4,4,4,12,Champions
12648,155,5,1097.0,2,3,3,8,Loyal Customers
12649,107,10,2238.7,2,4,4,10,Champions
12650,3,1,314.44,4,1,1,6,Recent but Low Value
12651,335,5,365.3,2,3,2,7,At Risk (Was Valuable)
12652,322,3,1011.58,2,2,3,7,Needs Attention
12653,149,3,4160.83,2,2,4,8,Loyal Customers
12654,11,5,601.98,4,3,2,9,Loyal Customers
12655,424,1,261.35,1,1,1,3,Lost
12656,17,12,6320.78,4,4,4,12,Champions
12657,11,5,1152.06,4,3,3,10,Champions
12658,19,1,686.05,4,1,2,7,Recent but Low Value
12659,30,1,91.68,3,1,1,5,Recent but Low Value
12660,11,1,245.1,4,1,1,6,Recent but Low Value
12661,436,1,162.0,1,1,1,3,Lost
12662,1,22,6949.17,4,4,4,12,Champions
12663,625,3,204.0,1,2,1,4,Lost
12664,8,12,6052.04,4,4,4,12,Champions
12665,325,5,301.45,2,3,1,6,At Risk (Was Valuable)
12666,359,2,1020.98,2,1,3,6,Needs Attention
12667,58,1,620.13,3,1,2,6,Recent but Low Value
12668,7,12,11380.710000000001,4,4,4,12,Champions
12669,151,4,1607.73,2,2,3,7,Needs Attention
12670,10,8,3750.39,4,3,4,11,Champions
12671,606,1,2622.481,1,1,4,6,Needs Attention
12672,330,3,410.5,2,2,2,6,Needs Attention
12673,5,3,1230.02,4,2,3,9,Loyal Customers
12674,12,7,1919.31,4,3,3,10,Champions
12675,554,4,934.8,1,2,3,6,Needs Attention
12676,25,12,2773.09,3,4,4,11,Champions
12677,555,3,389.3,1,2,2,5,Needs Attention
12678,42,23,33851.13,3,4,4,11,Champions
12679,52,9,1058.67,3,4,3,10,Champions
12680,1,4,880.81,4,2,3,9,Loyal Customers
12681,15,56,30551.76,4,4,4,12,Champions
12682,4,53,23945.81,4,4,4,12,Champions
12683,4,27,12418.6,4,4,4,12,Champions
12684,8,7,2283.63,4,3,4,11,Champions
12685,28,6,2863.08,3,3,4,10,Champions
12686,372,1,178.28,2,1,1,4,Lost
12687,481,2,2138.91,1,1,3,5,Needs Attention
12688,114,1,4873.8099999999995,2,1,4,7,Needs Attention
12689,26,2,1247.61,3,1,3,7,Recent but Low Value
12690,206,1,389.01,2,1,2,5,Needs Attention
12691,28,7,1170.4,3,3,3,9,Loyal Customers
12692,637,1,110.95,1,1,1,3,Lost
12693,121,11,1640.42,2,4,3,9,Loyal Customers
12694,70,4,1839.45,3,2,3,8,Loyal Customers
12695,7,7,1407.1200000000001,4,3,3,10,Champions
12696,435,3,801.15,1,2,2,5,Needs Attention
12697,21,5,939.02,4,3,3,10,Champions
12698,590,1,339.75,1,1,1,3,Lost
12699,418,1,638.11,1,1,2,4,Lost
12700,8,6,4867.99,4,3,4,11,Champions
12701,80,6,2446.41,3,3,4,10,Champions
12702,20,1,219.0,4,1,1,6,Recent but Low Value
12703,64,7,892.18,3,3,3,9,Loyal Customers
12704,7,10,2220.84,4,4,3,11,Champions
12705,15,22,11554.0,4,4,4,12,Champions
12707,292,1,603.42,2,1,2,5,Needs Attention
12708,30,30,5118.16,3,4,4,11,Champions
12709,3,55,30312.61,4,4,4,12,Champions
12710,97,4,1130.57,2,2,3,7,Needs Attention
12711,612,2,1339.05,1,1,3,5,Needs Attention
12712,23,28,6979.66,4,4,4,12,Champions
12713,1,1,848.55,4,1,2,7,Recent but Low Value
12714,9,12,14093.71,4,4,4,12,Champions
12715,106,1,353.86,2,1,2,5,Needs Attention
12716,4,2,1053.49,4,1,3,8,Loyal Customers
12717,151,4,1258.91,2,2,3,7,Needs Attention
12718,71,1,238.25,3,1,1,5,Recent but Low Value
12719,5,3,608.1,4,2,2,8,Loyal Customers
12720,3,41,8047.88,4,4,4,12,Champions
12721,32,10,3906.68,3,4,4,11,Champions
12722,85,6,904.33,3,3,3,9,Loyal Customers
12723,4,5,725.07,4,3,2,9,Loyal Customers
12724,5,7,2317.52,4,3,4,11,Champions
12725,371,4,2694.56,2,2,4,8,Loyal Customers
12726,28,11,4014.6,3,4,4,11,Champions
12727,11,12,5646.53,4,4,4,12,Champions
12728,71,5,1070.17,3,3,3,9,Loyal Customers
12729,114,1,453.01,2,1,2,5,Needs Attention
12730,522,1,829.25,1,1,2,4,Lost
12731,24,19,25673.21,4,4,4,12,Champions
12732,180,1,236.26000000000002,2,1,1,4,Lost
12733,234,6,2326.82,2,3,4,9,Loyal Customers
12734,353,3,639.65,2,2,2,6,Needs Attention
12735,315,2,779.5699999999999,2,1,2,5,Needs Attention
12736,333,1,234.0,2,1,1,4,Lost
12737,499,2,3710.5,1,1,4,6,Needs Attention
12738,372,1,310.7,2,1,1,4,Lost
12739,78,4,2726.73,3,2,4,9,Loyal Customers
12740,64,1,427.6,3,1,2,6,Recent but Low Value
12741,529,2,406.07,1,1,2,4,Lost
12742,600,2,1185.02,1,1,3,5,Needs Attention
12743,134,2,546.43,2,1,2,5,Needs Attention
12744,52,14,13158.16,3,4,4,11,Champions
12745,487,3,925.41,1,2,3,6,Needs Attention
12746,528,3,230.85000000000002,1,2,1,4,Lost
12747,2,32,9164.59,4,4,4,12,Champions
12748,1,365,49970.13,4,4,4,12,Champions
12749,4,16,6328.49,4,4,4,12,Champions
12750,129,1,275.88,2,1,1,4,Lost
12751,445,1,268.27,1,1,1,3,Lost
12752,81,1,4366.78,3,1,4,8,Loyal Customers
12753,4,11,21024.01,4,4,4,12,Champions
12754,236,5,2949.12,2,3,4,9,Loyal Customers
12755,250,22,6406.349999999999,2,4,4,10,Champions
12756,87,1,112.07999999999998,3,1,1,5,Recent but Low Value
12757,16,19,4227.7,4,4,4,12,Champions
12758,117,8,9779.0,2,3,4,9,Loyal Customers
12759,52,8,5020.74,3,3,4,10,Champions
12760,456,1,347.8,1,1,2,4,Lost
12761,458,2,782.95,1,1,2,4,Lost
12762,8,2,1898.52,4,1,3,8,Loyal Customers
12763,138,2,814.16,2,1,2,5,Needs Attention
12764,317,1,1693.88,2,1,3,6,Needs Attention
12765,472,6,1404.58,1,3,3,7,At Risk (Was Valuable)
12766,4,11,10026.43,4,4,4,12,Champions
12767,376,1,949.82,2,1,3,6,Needs Attention
12768,432,2,3.552713678800501e-15,1,2,1,4,Lost
12769,239,1,1143.6,2,1,3,6,Needs Attention
12770,211,7,2975.95,2,3,4,9,Loyal Customers
12771,465,2,262.5,1,2,1,4,Lost
12772,60,1,892.47,3,1,3,7,Recent but Low Value
12773,564,2,1.7763568394002505e-15,1,2,1,4,Lost
12774,536,1,98.7,1,1,1,3,Lost
12775,17,8,1651.32,4,3,3,10,Champions
12776,668,1,55.5,1,1,1,3,Lost
12777,458,1,519.45,1,1,2,4,Lost
12778,20,10,1757.68,4,4,3,11,Champions
12779,21,21,6406.76,4,4,4,12,Champions
12780,599,1,337.4,1,1,1,3,Lost
12781,21,5,707.72,4,3,2,9,Loyal Customers
12782,5,14,4526.04,4,4,4,12,Champions
12783,2,8,1603.87,4,3,3,10,Champions
12784,9,3,1804.75,4,2,3,9,Loyal Customers
12785,3,5,1079.31,4,3,3,10,Champions
12786,610,1,728.5,1,1,2,4,Lost
12787,10,5,859.18,4,3,2,9,Loyal Customers
12788,463,4,444.9,1,2,2,5,Needs Attention
12789,65,3,273.35,3,2,1,6,Recent but Low Value
12790,192,3,563.45,2,2,2,6,Needs Attention
12791,374,8,777.75,2,3,2,7,At Risk (Was Valuable)
12792,257,3,813.88,2,2,2,6,Needs Attention
12793,335,3,1017.33,2,2,3,7,Needs Attention
12794,53,2,860.41,3,2,2,7,Recent but Low Value
12795,19,1,430.48,4,1,2,7,Recent but Low Value
12796,628,1,381.0,1,1,2,4,Lost
12797,360,6,725.46,2,3,2,7,At Risk (Was Valuable)
12798,10,4,8510.93,4,2,4,10,Champions
12799,529,1,219.35,1,1,1,3,Lost
12800,470,3,584.25,1,2,2,5,Needs Attention
12801,478,2,1031.87,1,2,3,6,Needs Attention
12802,184,9,2350.42,2,4,4,10,Champions
12803,393,1,1092.81,1,1,3,5,Needs Attention
12804,466,2,327.02,1,2,1,4,Lost
12805,382,4,1434.95,1,2,3,6,Needs Attention
12806,435,4,2878.96,1,2,4,7,Needs Attention
12807,383,3,269.95,1,2,1,4,Lost
12808,37,5,906.1,3,3,3,9,Loyal Customers
12809,168,8,1705.34,2,3,3,8,Loyal Customers
12810,535,2,534.99,1,2,2,5,Needs Attention
12811,261,5,1033.9,2,3,3,8,Loyal Customers
12812,45,1,229.64000000000001,3,1,1,5,Recent but Low Value
12813,502,3,1687.8,1,2,3,6,Needs Attention
12814,102,1,125.92,2,1,1,4,Lost
12815,148,2,1063.46,2,2,3,7,Needs Attention
12816,96,2,572.2,2,2,2,6,Needs Attention
12817,281,3,690.98,2,2,2,6,Needs Attention
12818,178,2,1517.88,2,2,3,7,Needs Attention
12819,458,1,540.52,1,1,2,4,Lost
12820,3,13,2647.94,4,4,4,12,Champions
12821,214,2,220.8,2,2,1,5,Needs Attention
12822,71,3,918.98,3,2,3,8,Loyal Customers
12823,75,18,6501.5,3,4,4,11,Champions
12824,60,1,397.12,3,1,2,6,Recent but Low Value
12825,521,2,518.63,1,2,2,5,Needs Attention
12826,3,15,2928.69,4,4,4,12,Champions
12827,6,3,430.15000000000003,4,2,2,8,Loyal Customers
12828,3,6,1018.71,4,3,3,10,Champions
12829,322,4,345.35,2,2,2,6,Needs Attention
12830,38,7,6748.4,3,3,4,10,Champions
12831,262,3,451.11,2,2,2,6,Needs Attention
12832,32,2,383.03,3,2,2,7,Recent but Low Value
12833,145,1,417.38,2,1,2,5,Needs Attention
12834,283,1,312.38,2,1,1,4,Lost
12835,418,49,6018.67,1,4,4,9,Loyal Customers
12836,59,17,6546.47,3,4,4,11,Champions
12837,173,2,688.41,2,2,2,6,Needs Attention
12838,34,12,3376.03,3,4,4,11,Champions
12839,3,31,9927.83,4,4,4,12,Champions
12840,144,11,4013.87,2,4,4,10,Champions
12841,5,42,7390.4800000000005,4,4,4,12,Champions
12842,70,4,1917.99,3,2,3,8,Loyal Customers
12843,66,34,6345.61,3,4,4,11,Champions
12844,29,4,648.6,3,2,2,7,Recent but Low Value
12845,267,4,354.09,2,2,2,6,Needs Attention
12846,682,1,15.58,1,1,1,3,Lost
12847,22,2,1636.8999999999999,4,2,3,9,Loyal Customers
12848,676,1,208.0,1,1,1,3,Lost
12849,31,6,3090.56,3,3,4,10,Champions
12850,446,1,330.0,1,1,1,3,Lost
12851,97,2,284.13,2,2,1,5,Needs Attention
12852,290,2,299.75,2,2,1,5,Needs Attention
12853,108,16,3728.5,2,4,4,10,Champions
12854,79,11,2922.37,3,4,4,11,Champions
12855,373,4,650.9399999999999,2,2,2,6,Needs Attention
12856,8,8,2162.68,4,3,3,10,Champions
12857,211,7,3684.25,2,3,4,9,Loyal Customers
12858,383,2,151.73,1,2,1,4,Lost
12859,459,1,575.1,1,1,2,4,Lost
12860,693,1,55.47,1,1,1,3,Lost
12861,620,1,68.25,1,1,1,3,Lost
12862,426,2,1008.3199999999999,1,2,3,6,Needs Attention
12863,52,7,2775.5499999999997,3,3,4,10,Champions
12864,138,2,299.57,2,2,1,5,Needs Attention
12865,26,5,3303.31,3,3,4,10,Champions
12866,283,3,1227.35,2,2,3,7,Needs Attention
12867,26,16,7862.69,3,4,4,11,Champions
12868,186,8,2247.06,2,3,4,9,Loyal Customers
12869,682,1,337.66999999999996,1,1,1,3,Lost
12870,366,4,1647.15,2,2,3,7,Needs Attention
12871,84,3,744.02,3,2,2,7,Recent but Low Value
12872,327,13,3678.34,2,4,4,10,Champions
12873,282,3,2027.3,2,2,3,7,Needs Attention
12874,385,3,933.42,1,2,3,6,Needs Attention
12875,143,5,1356.99,2,3,3,8,Loyal Customers
12876,58,5,4068.59,3,3,4,10,Champions
12877,4,20,2955.17,4,4,4,12,Champions
12878,18,3,841.64,4,2,2,8,Loyal Customers
12879,45,4,552.5699999999999,3,2,2,7,Recent but Low Value
12880,382,2,640.13,1,2,2,5,Needs Attention
12881,276,1,298.0,2,1,1,4,Lost
12882,9,2,1463.04,4,2,3,9,Loyal Customers
12883,25,4,703.47,3,2,2,7,Recent but Low Value
12884,88,1,309.05,3,1,1,5,Recent but Low Value
12885,63,4,1158.27,3,2,3,8,Loyal Customers
